"butterfly watching, craft workshops, photography","Knuckles, Batadombalena Craft Centre, Ambalangoda Mask Workshop, Sigiriya, Horton Plains National Park"
"hot springs, animal encounters, historic sites","Elephant Transit Home, Polonnaruwa Ancient City, Yala National Park, Mihintale, Pinnawala Elephant Orphanage"
"camping, water parks, animal encounters","Horton Plains, Meemure, Elephant Transit Home, Water World Lanka, Leisure World"
"elephant rides, bird watching, hot air ballooning","Pinnawala, Bundala National Park, Kandalama, Sinharaja Forest Reserve, Dambulla"
"photography, snorkeling, art classes","Pigeon Island, Yala National Park, Ella, Mirissa Beach, Horton Plains National Park"
"zip-lining, sailing lessons, cultural experiences","Dambulla Royal Cave Temple and Golden Temple, Sri Dalada Maligawa, Kandy Temple, Mihintale, Negombo"
"snorkeling, elephant rides, water parks","Pinnawala, Water World Lanka, Unawatuna Beach, Hikkaduwa Beach, Mirissa Beach"
"tea tasting, craft workshops, snorkeling","Hikkaduwa Beach, Pigeon Island, Nilaveli Beach, Bentota, Kandy"
"museum visits, beachfront dining, sea cruises","Ratnapura Gem Museum, Folk Museum, Unawatuna, Colombo National Museum, Mirissa Beach"
"city tours, scuba diving, art classes","Trincomalee, Hikkaduwa Coral Sanctuary, Kandy City Centre, Pigeon Island, Kalpitiya"
"art classes, mountain biking, zip-lining","Ella, Kithulgala, Colombo, Hatton, Galle"
"paddleboarding, landscape photography, beach visits","Negambo, Ella Gap, Passikuda Beach, Arugam Bay Beach, Marakolliya Beach"
"history tours, snorkeling, surfing","Nilaveli Beach, Weligama Beach (surf and stay), Tangalle, Ahangama, Galle Dutch Fort"
"traditional ceremonies, architecture photography, beachfront dining","Unawatuna, Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple, Sigiriya, Galle Fort"
"historic sites, paddleboarding, horseback riding","Sigiriya, Unawatuna Beach, Negambo, Mihintale, Anuradhapura"
"rock climbing, hot springs, animal encounters","Elephant Transit Home, Madunagala Hot Water Spring, Kanneliya National Rain Forest Reserve, Mahapelessa Hot Springs, Maha Oya Hot Water Springs"
"camping, safaris, history tours","Vaddha Village Camping, Minneriya National Park, Horton Plains, Polonnaruwa Ancient City, Knuckles"
"historic sites, village homestays, beach visits","Jungle beach, Polonnaruwa Ancient City, Tangalle Beach, Arugam Bay Beach, Passikuda Beach"
"surfing, hot springs, mountain biking","Maha Oya Hot Water Springs, Tangalle, Weligama Beach (surf and stay), Hatton, Hikkaduwa Beach"
"river cruises, paddleboarding, turtle watching","Kosgoda Turtle Hatchery, Bentota River, Rekawa Beach, Trincomalee, Negambo"
"local crafts, planetarium visits, architecture photography","Kandy, Sri Lanka Planetarium, Galle Fort, Dambulla Royal Cave Temple and Golden Temple, Sigiriya"
"ayurvedic spa treatments, boat safaris, architecture photography","Sigiriya, Dambulla Royal Cave Temple and Golden Temple, Hikkaduwa, Ambuluwawa Tower, Bentota River"
"wildlife viewing, village homestays, outdoor adventures","Minneriya National Park, Udawalawe National Park, Kanneliya National Rain Forest Reserve, Hikkaduwa Coral Sanctuary, Riverstone Gap"
"animal encounters, whale watching, beachfront dining","Udawalawe National Park, Yala National Park, Mirissa Beach, Trincomalee, Galle"
"art classes, architecture photography, sea cruises","Galle, Negombo Lagoon, Colombo Port City, Sigiriya, Galle Fort"
"architecture photography, themed parks, literary tours","Dambulla Royal Cave Temple and Golden Temple, Galle Fort, Viharamahadevi Park, Velgam Vehera Buddhist Temple, Jaffna Public Library"
"temple pilgrimages, literary tours, history tours","Dambulla Royal Cave Temple and Golden Temple, Sigiriya, Martin Wickramasinghe Folk Museum, Mihintale, Sri Pada / Adams Peak"
"cycling, scuba diving, golfing","Kalpitiya, Trincomalee, Royal Colombo Golf Club, Victoria Golf Club, Hikkaduwa Coral Sanctuary"
"outdoor adventures, village homestays, scuba diving","Kalpitiya, Trincomalee, Ella, Haputale, Pigeon Island"
"sightseeing, hiking, horseback riding","Galle Lighthouse, Horton Plains National Park, Ella Rock, Nuwara Eliya, Horton Plains"
"beachfront dining, caving, public art installations","Mirissa Beach, Batatotalena (Batadombalena) Cave, Mahalenama Cave, Unawatuna, Galle"
"water parks, craft workshops, paddleboarding","Ambalangoda Mask Workshop, Water World Lanka, Negambo, Unawatuna Beach, Batadombalena Craft Centre"
"planetarium visits, outdoor adventures, ayurvedic spa treatments","Hikkaduwa Coral Sanctuary, Hikkaduwa, Kitulgala, Riverstone Gap, Sri Lanka Planetarium"
"kayaking, cultural experiences, craft workshops","Batadombalena Craft Centre, Kalpitiya Lagoon, Bentota, Kandy Temple, Dambulla Royal Cave Temple and Golden Temple"
"hiking, sailing lessons, art classes","Horton Plains National Park, Trincomalee, Negombo, Ella Rock, Sri Pada / Adams Peak"
"mountain biking, water parks, ayurvedic spa treatments","Water World Lanka, Bentota, Pearl Bay, Leisure World, Hatton"
"botanical gardens, museum visits, wildlife viewing","Wasgamuwa National Park, Hakgala Botanical Garden, Colombo National Museum, Yala National Park, Udawalawe National Park"
"camping, hiking, temple pilgrimages","Knuckles, Yala National Park, Horton Plains National Park, Meemure, Vaddha Village Camping"
"kayaking, craft workshops, historic sites","Bolgoda Lake, Batadombalena Craft Centre, Polonnaruwa Ancient City, Ambalangoda Mask Workshop, Galle Dutch Fort"
"hot air ballooning, outdoor adventures, photography","Sinharaja Forest Reserve, Riverstone Gap, Ella, Sigiriya, Horton Plains National Park"
"city tours, surfing, architecture photography","Mirissa Beach, Tangalle, Sigiriya, Galle City Tour, Velgam Vehera Buddhist Temple"
"wildlife viewing, museum visits, village homestays","Colombo National Museum, Ella, Yala National Park, Minneriya National Park, Wilpattu National Park"
"photography, horseback riding, elephant rides","Ella, Yala National Park, Pinnawala, Nuwara Eliya, Dambulla"
"landscape photography, wildlife viewing, botanical gardens","Dry Zone Botanic Gardens, Hambantota, Seethawaka Wet Zone Botanical Gardens, Minneriya National Park, Hakgala Botanical Garden, Horton Plains"
"traditional ceremonies, caving, historic sites","Sigiriya, Mahalenama Cave, Nallur Kandaswamy Kovil, Batatotalena (Batadombalena) Cave, Sri Dalada Maligawa"
"beachfront dining, wildlife viewing, boat safaris","Wasgamuwa National Park, Kanneliya National Rain Forest Reserve, Bentota River, Minneriya National Park, Yala National Park"
"themed parks, camping, horse shows","Meemure, Jungle Beach, Viharamahadevi Park, Nuwara Eliya, Horton Plains"
"sailing lessons, snorkeling, boat safaris","Bentota River, Madu River, Mirissa Beach, Nilaveli Beach, Pigeon Island"
"arts and culture, bird watching, themed parks","Nelung Arts Centre, Kumana National Park, Museum of Modern and Contemporary Art, Anawilundawa Wetlands, Gangaramaya Temple"
"butterfly watching, outdoor adventures, archaeological sites","Sigiriya, Horton Plains National Park, Hikkaduwa Coral Sanctuary, Polonaruwa, Kanneliya National Rain Forest Reserve"
"literary tours, village homestays, photography","Sigiriya, Horton Plains National Park, Ella, Martin Wickramasinghe Folk Museum, Sinharaja Forest Reserve"
"sailing, history tours, fishing","Polonnaruwa Ancient City, Hikkaduwa, Negombo Lagoon, Galle Dutch Fort, Colombo Port City"
"planetarium visits, outdoor adventures, art classes","Hikkaduwa Coral Sanctuary, Galle, Riverstone Gap, Sri Lanka Planetarium, Colombo"
"kayaking, yoga retreats, architecture tours","Galle, Madu River, Bolgoda Lake, Sigiriya, Unawatuna Lagoon"
"landscape photography, whale watching, spiritual retreats","Ruhunu Maha Kataragama Dewalaya, Sri Pada / Adams Peak, Trincomalee, Dambulla Royal Cave Temple and Golden Temple, Sigiriya"
"city tours, museum visits, hot springs","Kanniya Hot Springs, Folk Museum, Kandy City Centre, Maritime Museum, Madunagala Hot Water Spring"
"sailing, cultural experiences, historic walks","Galle Fort, Colombo Port City, Dambulla Royal Cave Temple and Golden Temple, Kandy Lake, Negombo Lagoon"
"horseback riding, camping, spiritual retreats","Trincomalee, Dambulla, Belihuloya, Knuckles, Sri Dalada Maligawa"
"theater, hot springs, hiking","Lionel Wendt Art Centre, Kanniya Hot Springs, Maha Oya Hot Water Springs, Mahapelessa Hot Springs, Nelung Arts Centre"
"historic walks, scuba diving, bird watching","Negombo, Anawilundawa Wetlands, Kumana National Park, Sinharaja Forest Reserve, Anuradapura"
"planetarium visits, city tours, cultural experiences","Galle City Tour, Sri Dalada Maligawa, Colombo City Tour, Kandy Temple, Anuradhapura"
"zip-lining, animal encounters, planetarium visits","Ella, Kithulgala, Kanneliya National Rain Forest Reserve, Yala National Park, Udawalawe National Park"
"beach visits, horseback riding, bird watching","Horton Plains National Park, Hiriketiya Beach, Koggala Beach, Arugam Bay Beach, Kumana National Park"
"horseback riding, cultural experiences, craft workshops","Mihintale, Nuwara Eliya, Ambalangoda Mask Workshop, Kandy Temple, Batadombalena Craft Centre"
"water parks, sightseeing, historic sites","Galle Dutch Fort, Horton Plains, Mihintale, Pidurangala Rock, Sigiriya"
"surfing, outdoor adventures, hot springs","Mirissa Beach, Riverstone Gap, Arugam Bay Beach, Weligama Beach (surf and stay), Hikkaduwa Beach"
"temple pilgrimages, snorkeling, whale watching","Pigeon Island, Hikkaduwa Beach, Mihintale, Trincomalee, Hikkaduwa"
"themed parks, arts and culture, photography","Nelung Arts Centre, Yala National Park, Jungle Beach, Gangaramaya Temple, Ella"
"yoga retreats, historical monuments, history tours","Polonnaruwa, Anuradhapura, Sigiriya, Hiriketiya, Galle Dutch Fort"
"golfing, mountain biking, kayaking","Hatton, Bolgoda Lake, Ahungalla, Royal Colombo Golf Club, Victoria Golf Club"
"surfing, village homestays, hiking","Ahangama, Hikkaduwa Beach, Sri Pada / Adams Peak, Arugam Bay Beach, Mirissa Beach"
"craft workshops, themed parks, hiking","Viharamahadevi Park, Batadombalena Craft Centre, Jungle Beach, Ambalangoda Mask Workshop, Ella Rock"
"architecture tours, landscape photography, photography","Yala National Park, Horton Plains, Ella Gap, Galle Dutch Fort, Sinharaja Forest Reserve"
"temple pilgrimages, planetarium visits, city tours","Kandy City Centre, Jaya Sri Maha Bodhi, Colombo City Tour, Mihintale, Sri Lanka Planetarium"
"historical monuments, animal encounters, water parks","Udawalawe National Park, Kanneliya National Rain Forest Reserve, Yala National Park, Anuradhapura, Polonnaruwa"
"themed parks, elephant rides, history tours","Pinnawala, Jungle Beach, Sigiriya, Udawalawe, Viharamahadevi Park"
"city tours, art classes, photography","Sigiriya, Nine Arches Bridge, Kandy City Centre, Yala National Park, Ella"
"botanical gardens, amusement parks, village homestays","Ella, Haputale, Hakgala Botanical Garden, Excel World, Seethawaka Wet Zone Botanical Gardens"
"traditional ceremonies, whale watching, mountain biking","Nallur Kandaswamy Kovil, Hikkaduwa, Trincomalee, Sri Dalada Maligawa, Knuckles"
"sea cruises, horseback riding, whale watching","Nuwara Eliya, Mirissa Beach, Negombo Lagoon, Trincomalee, Haputale"
"city tours, ayurvedic spa treatments, elephant rides","Pinnawala, Kandy City Centre, Bentota, Colombo City Tour, Galle City Tour"
"sailing lessons, city tours, architecture photography","Galle Fort, Kandy City Centre, Ambuluwawa Tower, Dambulla Royal Cave Temple and Golden Temple, Galle City Tour"
"cycling, hiking, cultural experiences","Ella Rock, Kandy Temple, Sri Dalada Maligawa, Arankelle Forest Monastery, Sri Pada / Adams Peak"
"city tours, kayaking, zip-lining","Kithulgala, Bolgoda Lake, Kitulgala, Kalpitiya Lagoon, Kandy City Centre"
"safaris, spiritual retreats, historical monuments","Ruhunu Maha Kataragama Dewalaya, Yala National Park, Sri Pada / Adams Peak, Minneriya National Park, Dambulla Royal Cave Temple and Golden Temple"
"turtle watching, photography, beachfront dining","Nine Arches Bridge, Pigeon Island, Unawatuna, Galle, Hikkaduwa"
"architecture tours, tea tasting, river cruises","Bentota River, Galle Dutch Fort, Kandy, Madu River, Sigiriya"
"hot air ballooning, horse shows, themed parks","Kandy, Kandalama, Dambulla, Viharamahadevi Park, Nuwara Eliya"
"literary tours, historical monuments, paddleboarding","Unawatuna Beach, Anuradhapura, Negambo, Trincomalee, Polonnaruwa"
"river cruises, kayaking, ayurvedic spa treatments","Kalpitiya Lagoon, Hikkaduwa, Bentota River, Bentota, Unawatuna Lagoon"
"historic sites, water parks, mountain biking","Water World Lanka, Sigiriya, Knuckles, Galle Dutch Fort, Anuradhapura"
"hiking, tea tasting, theater","Nelung Arts Centre, Lionel Wendt Art Centre, Nuwara Eliya, Kandy, Sri Pada / Adams Peak"
"sailing lessons, turtle watching, cycling","Rekawa Beach, Trincomalee, Pigeon Island, Ella, Hikkaduwa"
"cultural experiences, public art installations, fishing","Colombo, Hikkaduwa, Trincomalee, Arankelle Forest Monastery, Anuradhapura"
"architecture photography, fishing, museum visits","Ratnapura Gem Museum, Negombo Lagoon, Dambulla Royal Cave Temple and Golden Temple, Weligama Beach, Galle Fort"
"scuba diving, mountain biking, botanical gardens","Hatton, Hikkaduwa Coral Sanctuary, Pigeon Island, Kalpitiya, Dry Zone Botanic Gardens, Hambantota"
"waterfalls, caving, amusement parks","St Clairs Falls,  Laxapana Falls, Wavulpone Cave, Excel World, Batatotalena (Batadombalena) Cave"
"camping, historic sites, yoga retreats","Kitugala Forest, Galle, Yala National Park, Horton Plains, Knuckles"
"historic sites, wildlife viewing, architecture tours","Minneriya National Park, Mihintale, Udawalawe National Park, Anuradhapura, Kanneliya National Rain Forest Reserve"
"themed parks, caving, golfing","Royal Colombo Golf Club, Wavulpone Cave, Viharamahadevi Park, Belilena Caves, Ritigala"
"local crafts, architecture tours, waterfalls","Ramboda Falls, Kandy, Bomburu Ella Waterfall, Bambarakiri Ella, Sigiriya"
"safaris, architecture photography, botanical gardens","Dambulla Royal Cave Temple and Golden Temple, Yala National Park, Royal Botanical Gardens, Peradeniya, Wilpattu National Park, Seethawaka Wet Zone Botanical Gardens"
"planetarium visits, public art installations, caving","Colombo, Belilena Caves, Batatotalena (Batadombalena) Cave, Ritigala, Wavulpone Cave"
"hiking, sailing lessons, architecture photography","Negombo, Galle Fort, Dambulla Royal Cave Temple and Golden Temple, Horton Plains National Park, Sigiriya"
"architecture photography, tea tasting, butterfly watching","Galle Fort, Velgam Vehera Buddhist Temple, Sigiriya, Kandy, Dambulla Royal Cave Temple and Golden Temple"
"butterfly watching, historical monuments, caving","Belilena Caves, Knuckles, Wavulpone Cave, Polonnaruwa, Kanneliya National Rain Forest Reserve"
"butterfly watching, literary tours, botanical gardens","Martin Wickramasinghe Folk Museum, Dry Zone Botanic Gardens, Hambantota, Seethawaka Wet Zone Botanical Gardens, Royal Botanical Gardens, Peradeniya, Jaffna Public Library"
"spiritual retreats, paddleboarding, landscape photography","Unawatuna Beach, Horton Plains, Seetha Eliya, Dambulla Royal Cave Temple and Golden Temple, Ella Gap"
"horse shows, horseback riding, historical monuments","Kandy, Polonnaruwa, Anuradhapura, Dambulla, Nuwara Eliya"
"elephant rides, yoga retreats, spiritual retreats","Dambulla Royal Cave Temple and Golden Temple, Galle, Seetha Eliya, Pinnawala, Trincomalee"
"museum visits, outdoor adventures, craft workshops","Pigeon Island, Ambalangoda Mask Workshop, Bentota, Ratnapura Gem Museum, Hikkaduwa Coral Sanctuary"
"kayaking, camping, literary tours","Jaffna Public Library, Belihuloya, Unawatuna Lagoon, Vaddha Village Camping, Ahungalla"
"zip-lining, planetarium visits, museum visits","Ella, Dutch Museum, Kithulgala, National Museum Galle, Sri Lanka Planetarium"
"sailing, beachfront dining, historical monuments","Mirissa Beach, Negombo Lagoon, Anuradhapura, Colombo Port City, Polonnaruwa"
"tea tasting, hiking, public art installations","Colombo, Kandy, Horton Plains National Park, Sri Pada / Adams Peak, Ella Rock"
"village homestays, golfing, water parks","Nuwara Eliya Golf Club, Water World Lanka, Ella, Victoria Golf Club, Leisure World"
"golfing, snorkeling, photography","Nuwara Eliya Golf Club, Royal Colombo Golf Club, Victoria Golf Club, Nine Arches Bridge, Pigeon Island"
"boat safaris, theater, horseback riding","Madu River, Nelum Pokuna Theatre, Haputale, Nuwara Eliya, Dambulla"
"horse shows, cultural experiences, traditional ceremonies","Kandy, Dambulla Royal Cave Temple and Golden Temple, Anuradhapura, Sri Dalada Maligawa, Nuwara Eliya"
"water parks, golfing, butterfly watching","Nuwara Eliya Golf Club, Water World Lanka, Sinharaja Forest Reserve, Leisure World, Pearl Bay"
"paddleboarding, camping, sailing","Kitugala Forest, Yala National Park, Bentota River, Unawatuna Beach, Negambo"
"photography, cycling, golfing","Royal Colombo Golf Club, Horton Plains National Park, Ella, Sigiriya, Hatton"
"historical monuments, sailing lessons, historic sites","Trincomalee, Sigiriya, Galle Dutch Fort, Polonnaruwa Ancient City, Polonnaruwa"
"river cruises, beach visits, cultural experiences","Arugam Bay Beach, Mihintale, Marakolliya Beach, Arankelle Forest Monastery, Kandy Temple"
"horse shows, horseback riding, art classes","Galle, Haputale, Colombo, Dambulla, Nuwara Eliya"
"photography, architecture photography, horseback riding","Haputale, Dambulla, Nuwara Eliya, Velgam Vehera Buddhist Temple, Horton Plains National Park"
"planetarium visits, city tours, botanical gardens","Sri Lanka Planetarium, Dry Zone Botanic Gardens, Hambantota, Royal Botanical Gardens, Peradeniya, Kandy City Centre, Galle City Tour"
"kayaking, whale watching, yoga retreats","Kitulgala, Kalpitiya Lagoon, Madu River, Galle, Hiriketiya"
"planetarium visits, paddleboarding, camping","Vaddha Village Camping, Knuckles, Belihuloya, Kitugala Forest, Meemure"
"horse shows, hot springs, cycling","Maha Oya Hot Water Springs, Mahapelessa Hot Springs, Kanniya Hot Springs, Ella, Hatton"
"amusement parks, beach visits, sailing","Perl Bay, Arugam Bay Beach, Mirissa Beach, Bentota Beach, Trincomalee Harbour"
"museum visits, outdoor adventures, waterfalls","Hikkaduwa Coral Sanctuary, Colombo National Museum, Bakers Falls, Maritime Museum, Dunhinda Waterfall"
"spiritual retreats, art classes, whale watching","Dambulla Royal Cave Temple and Golden Temple, Mirissa Beach, Hikkaduwa, Colombo, Sri Pada / Adams Peak"
"landscape photography, outdoor adventures, sightseeing","Ella, Galle Lighthouse, Sigiriya, Kitulgala, Horton Plains"
"landscape photography, public art installations, boat safaris","Colombo, Kandy, Horton Plains, Sigiriya, Madu River"
"architecture tours, elephant rides, cultural experiences","Sigiriya, Mihintale, Anuradhapura, Udawalawe, Dambulla Royal Cave Temple and Golden Temple"
"sea cruises, zip-lining, arts and culture","Trincomalee Harbour, Mirissa Beach, Kithulgala, Negombo Lagoon, Museum of Modern and Contemporary Art"
"cycling, amusement parks, botanical gardens","Dry Zone Botanic Gardens, Hambantota, Leisure World, Ella, Excel World, Hakgala Botanical Garden"
"tea tasting, safaris, beach visits","Nuwara Eliya, Uppuveli Beach, Nilaveli Beach, Koggala Beach, Kumana National Park"
"amusement parks, surfing, photography","Perl Bay, Tangalle, Weligama Beach (surf and stay), Leisure World, Hikkaduwa Beach"
"kayaking, scuba diving, waterfalls"," Laxapana Falls, Kalpitiya, Negombo, Hikkaduwa Coral Sanctuary, Bolgoda Lake"
"whale watching, photography, cultural experiences","Anuradhapura, Sri Dalada Maligawa, Sinharaja Forest Reserve, Sigiriya, Trincomalee"
"hiking, waterfalls, golfing","Horton Plains National Park, Ramboda Falls, St Clairs Falls, Bopath Falls, Bambarakiri Ella"
"sailing, sea cruises, yoga retreats","Mirissa Beach, Hiriketiya, Trincomalee Harbour, Negombo Lagoon, Galle"
"historical monuments, botanical gardens, cycling","Seethawaka Wet Zone Botanical Gardens, Anuradhapura, Hatton, Ella, Royal Botanical Gardens, Peradeniya"
"wildlife viewing, public art installations, cultural experiences","Anuradhapura, Minneriya National Park, Kandy, Dambulla Royal Cave Temple and Golden Temple, Colombo"
"zip-lining, archaeological sites, hot air ballooning","Sigiriya, Ella, Anuradhapura, Dambulla, Polonaruwa"
"local crafts, historic sites, historical monuments","Mihintale, Galle Dutch Fort, Ambalangoda, Sigiriya, Polonnaruwa"
"cultural festivals, landscape photography, paddleboarding","Nallur Kandaswamy Devasthanam, Sigiriya, Kandy, Negambo, Bentota River"
"beachfront dining, paddleboarding, caving","Unawatuna Beach, Ritigala, Batatotalena (Batadombalena) Cave, Wavulpone Cave, Mirissa Beach"
"local crafts, cycling, arts and culture","Kandy, Nelung Arts Centre, Gangaramaya Temple, Museum of Modern and Contemporary Art, Hatton"
"caving, golfing, mountain biking","Victoria Golf Club, Hatton, Mahalenama Cave, Nuwara Eliya Golf Club, Royal Colombo Golf Club"
"city tours, golfing, horseback riding","Haputale, Nuwara Eliya, Kandy City Centre, Dambulla, Victoria Golf Club"
"hiking, village homestays, historical monuments","Haputale, Ella Rock, Horton Plains National Park, Polonnaruwa, Anuradhapura"
"architecture tours, traditional ceremonies, theater","Nallur Kandaswamy Kovil, Nelung Arts Centre, Sri Dalada Maligawa, Galle Dutch Fort, Sigiriya"
"safaris, beachfront dining, sailing lessons","Minneriya National Park, Galle, Mirissa Beach, Negombo, Trincomalee"
"butterfly watching, city tours, public art installations","Kandy City Centre, Colombo, Sinharaja Forest Reserve, Kandy, Knuckles"
"hiking, waterfalls, historic walks","Sri Pada / Adams Peak, Horton Plains National Park, Galle Fort, Bambarakanda Falls, Ramboda Falls"
"water parks, traditional ceremonies, sailing","Nallur Kandaswamy Kovil, Water World Lanka, Negombo Lagoon, Sri Dalada Maligawa, Colombo Port City"
"sailing, waterfalls, elephant rides","Ramboda Falls, Pinnawala, Bakers Falls, Ravan Ella Waterfall, Colombo Port City"
"horse shows, landscape photography, kayaking","Ella Gap, Madu River, Ahungalla, Unawatuna Lagoon, Sigiriya"
"hiking, scuba diving, yoga retreats","Ella Rock, Sri Pada / Adams Peak, Hikkaduwa Coral Sanctuary, Hiriketiya, Horton Plains National Park"
"kayaking, temple pilgrimages, tea tasting","Sri Pada / Adams Peak, Ahungalla, Kalpitiya Lagoon, Mihintale, Nuwara Eliya"
"museum visits, yoga retreats, architecture photography","Maritime Museum, Velgam Vehera Buddhist Temple, Colombo National Museum, Folk Museum, Ambuluwawa Tower"
"boat safaris, museum visits, arts and culture","Maritime Museum, Jaffna Public Library, Madu River, Museum of Modern and Contemporary Art, Colombo National Museum"
"tea tasting, paddleboarding, museum visits","Ratnapura Gem Museum, Negambo, Trincomalee, Bentota River, Maritime Museum"
"arts and culture, history tours, horse shows","Nuwara Eliya, Polonnaruwa Ancient City, Nelung Arts Centre, National Gallery of Art, Sigiriya"
"golfing, museum visits, hot air ballooning","Maritime Museum, Victoria Golf Club, Ratnapura Gem Museum, Kandy National Museum, Folk Museum"
"sailing lessons, historical monuments, animal encounters","Trincomalee, Negombo, Elephant Transit Home, Kanneliya National Rain Forest Reserve, Polonnaruwa"
"theater, bird watching, horseback riding","Haputale, Lionel Wendt Art Centre, Anawilundawa Wetlands, Nuwara Eliya, Nelum Pokuna Theatre"
"history tours, themed parks, whale watching","Viharamahadevi Park, Trincomalee, Polonnaruwa Ancient City, Sigiriya, Mirissa Beach"
"architecture tours, sailing lessons, animal encounters","Trincomalee, Pinnawala Elephant Orphanage, Elephant Transit Home, Kanneliya National Rain Forest Reserve, Udawalawe National Park"
"butterfly watching, kayaking, city tours","Bolgoda Lake, Sinharaja Forest Reserve, Kanneliya National Rain Forest Reserve, Colombo Port City, Galle City Tour"
"golfing, ayurvedic spa treatments, beachfront dining","Victoria Golf Club, Mirissa Beach, Hikkaduwa, Bentota, Royal Colombo Golf Club"
"museum visits, theater, outdoor adventures","Pigeon Island, Kitulgala, Kandy National Museum, Maritime Museum, Dutch Museum"
"cycling, hot air ballooning, sailing","Dambulla, Hatton, Trincomalee Harbour, Negombo Lagoon, Colombo Port City"
"horseback riding, turtle watching, architecture tours","Sigiriya, Kosgoda Turtle Hatchery, Haputale, Rekawa Beach, Galle Dutch Fort"
"turtle watching, literary tours, wildlife viewing","Kosgoda Turtle Hatchery, Udawalawe National Park, Pigeon Island, Hikkaduwa, Minneriya National Park"
"village homestays, historic sites, arts and culture","Anuradhapura, Haputale, Polonnaruwa Ancient City, Jaffna Public Library, Ella"
"tea tasting, butterfly watching, history tours","Kandy, Sinharaja Forest Reserve, Kanneliya National Rain Forest Reserve, Knuckles, Polonnaruwa Ancient City"
"golfing, botanical gardens, temple pilgrimages","Royal Botanical Gardens, Peradeniya, Royal Colombo Golf Club, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Hakgala Botanical Garden"
"amusement parks, horse shows, bird watching","Kandy, Bundala National Park, Colombo Port City, Nuwara Eliya, Leisure World"
"village homestays, architecture tours, archaeological sites","Ella, Anuradhapura, Polonaruwa, Sigiriya, Galle Dutch Fort"
"bird watching, animal encounters, landscape photography","Udawalawe National Park, Kumana National Park, Bundala National Park, Ella Gap, Horton Plains"
"history tours, rock climbing, outdoor adventures","Pigeon Island, Surathali Ella, Yapahuwa Rock Fortress, Polonnaruwa Ancient City, Knuckles"
"history tours, fishing, surfing","Weligama Beach (surf and stay), Tangalle, Polonnaruwa Ancient City, Sigiriya, Arugam Bay Beach"
"city tours, landscape photography, outdoor adventures","Galle City Tour, Kandy City Centre, Riverstone Gap, Kitulgala, Pigeon Island"
"art classes, safaris, city tours","Colombo, Kumana National Park, Minneriya National Park, Galle City Tour, Yala National Park"
"city tours, amusement parks, botanical gardens","Colombo City Tour, Dry Zone Botanic Gardens, Hambantota, Excel World, Hakgala Botanical Garden, Seethawaka Wet Zone Botanical Gardens"
"horseback riding, yoga retreats, beach visits","Passikuda Beach, Nilaveli Beach, Hiriketiya Beach, Bentota Beach, Marakolliya Beach"
"hot springs, photography, theater","Maha Oya Hot Water Springs, Mahapelessa Hot Springs, Ella, Kanniya Hot Springs, Yala National Park"
"cycling, sightseeing, art classes","Ella, Hatton, Galle, Horton Plains, Pidurangala Rock"
"sailing, yoga retreats, turtle watching","Negombo Lagoon, Trincomalee Harbour, Rekawa Beach, Hiriketiya, Hikkaduwa"
"caving, mountain biking, planetarium visits","Ritigala, Knuckles, Mahalenama Cave, Hatton, Belilena Caves"
"beach visits, hot air ballooning, paddleboarding","Koggala Beach, Bentota River, Unawatuna Beach, Trincomalee, Dambulla"
"architecture tours, sailing, archaeological sites","Negombo Lagoon, Anuradhapura, Colombo Port City, Trincomalee Harbour, Galle Dutch Fort"
"traditional ceremonies, horse shows, theater","Kandy, Nelung Arts Centre, Nallur Kandaswamy Kovil, Nelum Pokuna Theatre, Sri Dalada Maligawa"
"village homestays, caving, turtle watching","Pigeon Island, Kosgoda Turtle Hatchery, Ella, Mahalenama Cave, Hikkaduwa"
"temple pilgrimages, snorkeling, camping","Belihuloya, Hikkaduwa Beach, Mirissa Beach, Pigeon Island, Horton Plains"
"animal encounters, surfing, botanical gardens","Yala National Park, Tangalle, Kanneliya National Rain Forest Reserve, Weligama Beach (surf and stay), Seethawaka Wet Zone Botanical Gardens"
"hot air ballooning, camping, sailing","Knuckles, Trincomalee Harbour, Meemure, Yala National Park, Belihuloya"
"museum visits, theater, zip-lining","Ratnapura Gem Museum, Lionel Wendt Art Centre, National Museum Galle, Folk Museum, Kandy National Museum"
"water parks, history tours, paddleboarding","Galle Dutch Fort, Pearl Bay, Polonnaruwa Ancient City, Leisure World, Water World Lanka"
"caving, mountain biking, rock climbing","Knuckles, Mahalenama Cave, Hatton, Belilena Caves, Surathali Ella"
"caving, theater, safaris","Minneriya National Park, Nelum Pokuna Theatre, Yala National Park, Batatotalena (Batadombalena) Cave, Wilpattu National Park"
"kayaking, camping, rock climbing","Surathali Ella, Kitulgala, Yapahuwa Rock Fortress, Colombo Port City, Unawatuna Lagoon"
"cultural festivals, fishing, elephant rides","Hikkaduwa, Negombo Lagoon, Trincomalee, Weligama Beach, Pinnawala"
"botanical gardens, animal encounters, history tours","Royal Botanical Gardens, Peradeniya, Elephant Transit Home, Polonnaruwa Ancient City, Pinnawala Elephant Orphanage, Sigiriya"
"animal encounters, sightseeing, sailing","Horton Plains, Colombo Port City, Yala National Park, Elephant Transit Home, Negombo Lagoon"
